benchmark,all,complete,incomplete
automotive_bitcount,27,8,6
automotive_qsort1,11,3,6
automotive_susan_c,28,3,10
automotive_susan_e,28,3,11
automotive_susan_s,28,4,10
bzip2d,81,9,35
bzip2e,81,8,25
consumer_jpeg_c,337,30,90
consumer_jpeg_d,323,30,83
consumer_lame,205,40,60
consumer_mad,275,30,50
consumer_tiff2bw,320,28,66
consumer_tiff2rgba,320,32,77
consumer_tiffdither,320,29,74
consumer_tiffmedian,322,25,60
network_dijkstra,13,4,6
network_patricia,13,3,7
office_ghostscript,3488,577,750
office_ispell,119,10,48
office_rsynth,56,16,28
office_stringsearch1,18,4,4
security_blowfish_d,15,3,6
security_blowfish_e,15,3,6
security_pgp_d,327,30,71
security_pgp_e,327,45,79
security_rijndael_d,15,2,8
security_rijndael_e,15,3,8
security_sha,15,5,7
telecom_adpcm_c,10,3,4
telecom_adpcm_d,10,2,5
telecom_CRC32,12,3,5
telecom_gsm,76,9,29
